key,zh-cn,en
logo,logo图片,logo
common_account,账号,account
common_add,新增,add
common_app_name,App名称,app name
common_back,返回,return
common_balance,账户余额,balance
common_cancel,取消,cancel
common_change_pwd,修改密码,change password
common_confirm,确定,confirm
common_confirm_pwd,确认密码,confirm
common_contant,联系人,contact
common_create,创建,create
common_create_time,创建时间,creation time
common_date,日期,date
common_delete,删除,delete
common_delete_cancel,取消删除,undelete
common_delete_success,删除成功,successfully
common_desciption,描述,desciption
common_detail,详情,detail
common_disable_cancel,禁用取消,disable cancel
common_disable_status,禁用,disable
common_disabled_status,已禁用,disabled
common_edit,编辑,edit
common_enable_cancel,启用取消,enable cancel
common_enable_status,启用,enable
common_hello,您好,hello
common_input,请输入,ple input
common_login,登录,login
common_logout,登出,login out
common_merchant_back,商家后台,merchant backend
common_modify,修改,modify
common_modify_person,修改人,modify person
common_modify_time,修改时间,modify time
common_not_enabled_status,未启用,not enable
common_operate_time,操作时间,operate time
common_operation,操作,operation
common_operator,操作人,operator
common_order,序号,Serial number
common_password,密码,password
common_passwordTips,您当前的密码安全系数低，请进行修改密码,"Your current password security factor is low, it is recommended that you change your password immediately"
common_pwd_disparity,两次密码不一致,different password
common_remark,备注,remark
common_required,必填,required
common_reset_password,重置密码,reset
common_save,保存,save
common_save_success,保存成功,successfully
common_search,搜索,search
common_search_reset,重置,reset
common_select_option,请选择,select
common_status,状态,status
common_submit,提交,submit
common_time,时间,time
common_tips,提示,tips
common_title,百川商户管理,Merchant Management
common_to,至,to
common_type,类型,type
common_upload,上传,upload
common_valid_account,用户名,user name
common_valid_number,只允许输入数字,Only allow numbers
common_valid_pwd,请输入4-18位字母或数字,Please enter 4-18 letters or numbers
common_select_time,请选择时间,Please selet time
common_excel_type,请上传.xls或.xlsx格式的文件，大小不超过2MB,"The type must be excel, and the size must be less than 2M"
detail_apply_reduce,已申请减免,Applied for reduce
detail_approve_no,未通过,not approve
detail_approve_yes,通过,approve
detail_college,大学及大学以上,college
detail_female,女,female
detail_high_school,高中,high school
detail_job_no,未就业,not employed
detail_job_yes,已就业,employed
detail_male,男,male
detail_marry_no,未婚,unmarried
detail_marry_yes,已婚,married
detail_middle_school,初中以下,middle school
detail_no_order_info,暂无订单信息,no order information
detail_pay_offline,线下还款,Offline repayment
detail_pay_online,paystack线上,paystack-online
detail_pay_withholding,paystack代扣,paystack-withholding
detail_work_less,3年以下,Less than 3 years
detail_work_middle,3-5年,3-5 years
detail_work_more,5年以上,More than 5 years
extra_cancle_logout,取消注销,Cancel logout
extra_cancle_logout_confirm,您确定要取消注销吗？,Are you sure cancel logout?
extra_first_name,名字,first name
extra_logout,注销,logout
extra_middle_name,中间名,middle name
extra_remove_black_comfirm,您确定要将此人移除黑名单么？,Are you sure remove this person from the blacklist?
extra_sur_name,姓,sur name
operation_activity_detail,活动详情,activity detail
operation_activity_id,活动ID,activity id
operation_activity_name,活动名称,activity name
operation_activity_time,活动时间,activity time
operation_all_user,全部用户,all user
operation_bank_account,线下还款银行账户,Offline repayment bank account
operation_bank_name,线下还款银行名称,Offline repayment bank name
operation_loan_address,借款协议地址,Loan protocol address
operation_privacy_address,隐私协议地址,Privacy protocol address
operation_banner,轮播图,banner
operation_banner_title,轮播图标题,banner title
operation_card_credit,卡认证成功,Card authentication succeeded
operation_coupon_export_user,导出用户,export user
operation_coupon_total_cost,总计成本,coupon total cost
operation_coupon_new_rate,拉新率,coupon new rate
operation_coupon_use_rate,使用率,coupon use rate
operation_coupon_use_number,使用数量,coupon use number
operation_coupon_number,发放数量,coupon number
operation_coupon_amount,优惠券金额,coupon amount
operation_coupon_time,优惠券有效期,coupon time
operation_creater,创建人,creater
operation_day,天,day
operation_down_template,下载模板,download template
operation_effective,有效,effective
operation_email,电子邮箱,E-mail
operation_img_big,图片大小最大不超过,The maximum picture size does not exceed
operation_img_size,图片尺寸,img size
operation_istribution_object,发放对象,istribution object
operation_linkurl,跳转地址,link url
operation_loan_success,放款成功,loan successfully
operation_new_user,新用户,new users
operation_notice_text,通知文案,notice text
operation_offline,下线,offline
operation_old_user,老用户,old users
operation_online,上线,online
operation_full_repayment,全额还款,Full payment
operation_full_repayment_info,指活动有效期间全额还款结清的用户（包括提前还款，正常还款，逾期还款），用户结清订单时，优惠券自动发放到用户包里（活动期间一个客户仅发送一次优惠券）,指活动有效期间全额还款结清的用户（包括提前还款，正常还款，逾期还款），用户结清订单时，优惠券自动发放到用户包里（活动期间一个客户仅发送一次优惠券）
operation_online_back,线上全额还款,Full payment online
operation_particular_user,特定用户,particular users
operation_phone,联系电话,phone
operation_protocol_link,协议地址,protocol link
operation_receiving,领取后,receiving
operation_upload_file,选择上传文件,upload file
operation_user_behavior,用户行为,user behavior
operation_user_property,用户属性,user property
operation_valid_bumber,请输入数字,ple input digitals
operation_valid_upfile,支持excel导入，最多可导入1000个号码,"Support excel import, up to 1000 numbers can be imported"
operation_use_instructions,使用说明,使用说明
opeartion_use_instructions_info,所有的额度优惠券不能提现，均只有线上还款时才能使用，线下还款不能使用。提前还款/正常还款可用，逾期还款不可用。所有优惠券都是自动分发形式，并且一个客户只能发送一次,所有的额度优惠券不能提现，均只有线上还款时才能使用，线下还款不能使用。提前还款/正常还款可用，逾期还款不可用。所有优惠券都是自动分发形式，并且一个客户只能发送一次
opeartion_new_user_info,指活动有效期内注册的用户,指活动有效期内注册的用户
opeartion_old_user_info,活动期间成功结清次数>=1的用户（活动期间一个客户仅发送一次优惠券）,活动期间成功结清次数>=1的用户（活动期间一个客户仅发送一次优惠券）
opeartion_successful_loan_info,指活动有效期内，客户放款成功，从待放款到贷款中状态,指活动有效期内，客户放款成功，从待放款到贷款中状态
operation_online_back_info,指活动有效期内线上全额还款结清的用户（包括提前还款，正常还款，逾期还款），用户结清订单时，优惠券自动发放到用户包里,指活动有效期内线上全额还款结清的用户（包括提前还款，正常还款，逾期还款），用户结清订单时，优惠券自动发放到用户包里
operation_card_credit_info,指活动期内的用户，完成银行卡认证（付款的验证），验证完成，优惠券自动发放到用户包里（每个用户可领取多张）,指活动期内的用户，完成银行卡认证（付款的验证），验证完成，优惠券自动发放到用户包里（每个用户可领取多张）
order_abnormal_loan,放款异常,abnormal loan
order_account,账户号,account
order_add_black,添加黑名单,add blacklist
order_add_black_list,加入黑名单,add to blacklist
order_add_black_reason,加黑原因,black reason
order_add_black_time,加黑时间,black time
order_add_black_type,加黑方式,balack type
order_add_collection,添加催收记录,add collection
order_add_remark,添加备注,add remark
order_all,全部,all
order_allot_status,分配状态,Allocation status
order_allot_status0,全部,all
order_allot_status1,已分配,Assigned
order_allot_status2,未分配,Unassigned
order_allot_time,分配时间,Allocated time
order_already_distribution,已分配,Assigned
order_amount,金额,amount
order_amount_set,金额配置,Amount allocation
order_bank_email,银行邮箱,bank email
order_batch_allot,批量分配,batch allot
order_batch_distribution,批量分配,batch distribution
order_button1,审核,Review
order_button2,审核记录,Review record
order_button3,添加催收信息,Add collection info
order_button4,催收记录,collection info
order_button5,减免,reduce aduit
order_choose,选择被分配的人,Choose who is assigned
order_choosed_reminder,被分配的人,Assigned person
order_coll_abort,接通后挂断,Hang up after connecting
order_coll_c_phone,公司电话,company phone
order_coll_chang,承诺偿还,Promise to repay
order_coll_changed,声称已偿还,Claimed to have been repaid
order_coll_first,第一关系,First relationships
order_coll_message,短信,message
order_coll_no,无还款意向,No repayment intention
order_coll_no_phone,电话未接通,Call not connected
order_coll_other,其他,other
order_coll_phone,电话,phone
order_coll_second,第二关系,Second relationship
order_coll_thirdparty,第三方,Third party
order_coll_user,用户,user
order_collect_result,催收结果,Collection result
order_collect_result1,承诺还款,Promise to repay
order_collect_result2,声称已经还款,Claim to have repaid
order_collect_result3,第三方还款,Third party repayment
order_collect_status,催收状态,Collection status
order_collect_status1,已催收,Collected
order_collect_status2,未催收,Uncollected
order_collect_time,应提醒时间,Should remind time
order_collect_time1,今天,today
order_collect_time2,明天,tommorrow
order_collect_time3,后天,day after tomorrow
order_collected_phone,被催收人电话,Call of the Collected
order_collecter_level,催收人等级,Collector level
order_collection_assign_disabled,您批量选择的订单类型不一致，请重新选择,"The order types you selected in batch are inconsistent, please select again"
order_collection_detail,催收详情,Collection details
order_collection_person,催收人,Collector
order_collection_record,催收记录,Collection records
order_collection_target,催收对象,Collection object
order_collection_time,催收时间,Collection time
order_collection_way,催收方式,collection way
order_configuration,配置,configuration
order_contact,紧急联系人,emergency contact
order_create_time,注册时间,create time
order_credit_detail,审核详情,credit detail
order_credit_person,审核人,credit person
order_credit_record,信审记录,credit record
order_credit_result,审核结果,credit result
order_credit_time,审核时间,credit time
order_cycle,贷款期限,Loan term
order_data,数据,data
order_deadline_rate_set,逾期率配置,deadline rate setting
order_deadline_set,期限配置,deadline setting
order_deadline_time,到期应还时间,deadline time
order_did_not_return_amount,未还金额,not paid amount
order_did_return_amount,已还金额,paid amount
order_distribute,分配,distribute
order_distribution_time,分配时间,distribution time
order_download_black_template,下载上传模板,download black template
order_examine,审核,Review
order_examine_detail,审核详情,Review details
order_examine_reason,拒绝原因,refund reason
order_examine_status,审核状态,Approval Status
order_expiration_time,到期时间,expiration time
order_fail,失败,Failed
order_failed_to_create_tripartite_loan_slip,三方放款单创建失败,Failed to create tripartite loan slip
order_import,导入,import
order_interest_rate,息率,interest rate
order_invalid_order,订单失效,invalid order
order_limit,贷款额度,loan amount
order_loan_failed,放款失败,loan failed
order_loan_rejection,放款拒绝,loan rejection
order_logout_confirm,您确定要将此人账号注销吗,Are you sure log out this person's account
